perturbation_id	gene_symbol	evidence_depth	decision_scope	combined	screen_reversal	external_layer_verdict	last_gate_reached	rejection_reason	final_evidence_class
ENSG00000087460	GNAS	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	3.078	0.157	not_queried(locally_vetoed)	local_safety_veto	foxp3_deep_collapse	SAFETY_CONSTRAINED
ENSG00000168488	ATXN2L	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.763	0.123	not_queried(locally_vetoed)	local_safety_veto	foxp3_deep_collapse	SAFETY_CONSTRAINED
ENSG00000168769	TET2	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.697	0.126	not_queried(locally_vetoed)	local_safety_veto	tumour_suppressor	SAFETY_CONSTRAINED
ENSG00000136940	PDCL	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.658	0.121	not_queried(locally_vetoed)	local_safety_veto	apoptosis_induction	SAFETY_CONSTRAINED
ENSG00000138081	FBXO11	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.623	0.128	NO_CREDIBLE_MODALITY	external_modality	LoF_intolerant_safety_caution;many_cancer_assoc(caution);no_credible_modality	EXPLORATORY_SINGLE_STATE_HIT
ENSG00000077147	TM9SF3	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.586	0.124	not_queried(locally_vetoed)	biological_robustness	fails donor-consistent-subvector or leading-edge jackknife	EXPLORATORY_SINGLE_STATE_HIT
ENSG00000168610	STAT3	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.497	0.115	not_queried(locally_vetoed)	local_safety_veto	pan_essential_or_broad_machinery;severe_immunodeficiency	SAFETY_CONSTRAINED
ENSG00000173451	THAP2	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.476	0.114	NO_CREDIBLE_MODALITY	external_modality	many_cancer_assoc(caution);no_immune_evidence;no_credible_modality	EXPLORATORY_SINGLE_STATE_HIT
ENSG00000099956	SMARCB1	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.423	0.106	not_queried(locally_vetoed)	local_safety_veto	foxp3_deep_collapse;pan_essential_or_broad_machinery;tumour_suppressor	SAFETY_CONSTRAINED
ENSG00000100425	BRD1	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.418	0.118	TRACTABLE_EXPLORATORY	survives_as_exploratory	LoF_intolerant_safety_caution	NONSPECIFIC_BROAD_REVERSER
ENSG00000119523	ALG2	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.392	0.112	SAFETY_CONSTRAINED	external_essentiality	OT_essential;no_credible_modality	SAFETY_CONSTRAINED
ENSG00000171105	INSR	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.331	0.101	TRACTABLE_EXPLORATORY	survives_as_exploratory	heavy_safety_liabilities	EXPLORATORY_SINGLE_STATE_HIT
ENSG00000170322	NFRKB	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.307	0.101	not_queried(locally_vetoed)	local_safety_veto	apoptosis_induction;foxp3_deep_collapse;pan_essential_or_broad_machinery	SAFETY_CONSTRAINED
ENSG00000116747	RO60	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.273	0.103	not_queried(locally_vetoed)	local_safety_veto	foxp3_deep_collapse	SAFETY_CONSTRAINED
ENSG00000141499	WRAP53	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.271	0.114	NO_CREDIBLE_MODALITY	external_modality	many_cancer_assoc(caution);no_immune_evidence;no_credible_modality	EXPLORATORY_SINGLE_STATE_HIT
ENSG00000108349	CASC3	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.228	0.106	NO_CREDIBLE_MODALITY	external_modality	LoF_intolerant_safety_caution;many_cancer_assoc(caution);no_credible_modality	EXPLORATORY_SINGLE_STATE_HIT
ENSG00000005339	CREBBP	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.214	0.116	not_queried(locally_vetoed)	biological_robustness	fails donor-consistent-subvector or leading-edge jackknife	SAFETY_CONSTRAINED
ENSG00000213928	IRF9	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.19	0.128	NO_CREDIBLE_MODALITY	external_modality	LoF_intolerant_safety_caution;many_cancer_assoc(caution);no_credible_modality	EXPLORATORY_SINGLE_STATE_HIT
ENSG00000162419	GMEB1	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.186	0.089	NO_CREDIBLE_MODALITY	external_modality	LoF_intolerant_safety_caution;many_cancer_assoc(caution);no_immune_evidence;no_credible_modality	EXPLORATORY_SINGLE_STATE_HIT
ENSG00000149929	HIRIP3	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.186	0.09	not_queried(locally_vetoed)	local_safety_veto	stress_induction	SAFETY_CONSTRAINED
ENSG00000169926	KLF13	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.184	0.114	NO_CREDIBLE_MODALITY	external_modality	many_cancer_assoc(caution);no_credible_modality	EXPLORATORY_SINGLE_STATE_HIT
ENSG00000102034	ELF4	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.177	0.104	NO_CREDIBLE_MODALITY	external_modality	many_cancer_assoc(caution);no_credible_modality	EXPLORATORY_SINGLE_STATE_HIT
ENSG00000134107	BHLHE40	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.074	0.093	not_queried(locally_vetoed)	biological_robustness	fails donor-consistent-subvector or leading-edge jackknife	SAFETY_CONSTRAINED
ENSG00000169375	SIN3A	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.054	0.107	SAFETY_CONSTRAINED	biological_robustness	fails donor-consistent-subvector or leading-edge jackknife	NONSPECIFIC_BROAD_REVERSER
ENSG00000099901	RANBP1	SHORTLIST_VETTED	SINGLE_STATE_SCREEN	2.017	0.099	not_queried(locally_vetoed)	instrument	crispri_ineffective (KD not effective; no valid instrument)	EXPLORATORY_SINGLE_STATE_HIT
ENSG00000180370	PAK2	DEEP	DEEP_CANDIDATE_VALIDATION		-0.066	activation_confounded_no_escape	therapeutic_directionality	NOT_THERAPEUTICALLY_DIRECTIONAL;GENERIC_ACTIVATION_SUPPRESSION;PARTIAL_INHIBITION_NOT_ESTABLISHED	REJECTED_AFTER_DEEP_VALIDATION
ENSG00000137275	RIPK1	DEEP	COMPARATOR		-0.033	benchmark_comparator	disease_directionality	COMPARATOR_ONLY;not_directionally_supported_in_this_analysis	COMPARATOR_ONLY
ENSG00000164327	RICTOR	DEEP	BOUNDED_PRESPECIFIED_RESCUE		0.085	modality_gap_unresolved	retained_mechanism_node	RETAINED_MECHANISM_HYPOTHESIS;modality_and_independent_replication_unresolved	RETAINED_MECHANISM_HYPOTHESIS
